# вгвгMAC╛╩╬м╩╕╗·1вк╢ж─╠	# вгвгMAC╛╩╬м╩╕╗·1вк╢ж─╠
л√	No.
л№	KK
л¤	TEL
л■	FAX
нб	(╞№)
нв	(╖ю)
нг	(▓╨)
нд	(┐х)
не	(╠┌)
нж	(╢т)
нз	(┼┌)
ни	(║╫)
нй	(╜╦)
нк	(╝л)
нл	(╗ъ)
нм	(┬х)
нн	(╕╞)
но	(│Ї)
нп	(╗ё)
н░	(╠╛)
н▒	(═н)
н▓	(│╪)
н│	(║т)
н┤	(╝╥)
н╡	(╞├)
н╢	(┤╞)
н╖	(┤ы)
н╕	(╢и)
н╣	(╧л)
# вгвгMAC┤▌░ївк╢ж─╠╩╕╗·	# вгвгMAC┤▌░ївк╢ж─╠╩╕╗·
нё	┬чбз
нЇ	├цбз
нЄ	╛обз
нє	╛хбз
нї	▓╝бз
нЎ	║╕бз
нў	▒жбз
н°	░хбз
н∙	║тбз
н·	═ебз
н√	╧лбз
н№	░їбз
н¤	╣╡бз
н■	е▐еы╚ы
# вгвгMAC╛╩╬м╩╕╗·2вк╢ж─╠╩╕╗·	# вгвгMAC╛╩╬м╩╕╗·2вк╢ж─╠╩╕╗·
о┐	еве╤б╝е╚
о└	е│б╝е▌
о┴	е╧еде─
о┬	е╙еы
о├	е▐еєе╖ечеє
оч	╠└╝г
ош	┬ч└╡
ощ	╛╝╧┬
оъ	╩┐└о
о№	│Ї╝░▓ё╝╥
о¤	═н╕┬▓ё╝╥
о■	║т├─╦б┐═
# вгвгMAC├▒░╠вк╢ж─╠╩╕╗·	# вгвгMAC├▒░╠вк╢ж─╠╩╕╗·
лб	mm
лв	╩┐╩¤mm
лг	cm
лд	╩┐╩¤cm
ле	╬й╩¤cm
лж	m
лз	╩┐╩¤m
ли	╬й╩¤m
лй	km
лк	╩┐╩¤km
лл	mg
лм	g
лн	kg
ло	cc
лп	ml
л░	dl
л▒	l
л▓	kl
л│	ms
л┤	ж╠s
л╡	ns
л╢	ps
л╖	бмF
л╕	mb
л╣	╟╧╬╧
л║	Hz
л╗	KB
л╝	MB
л╜	GB
л╛	TB
об	е▀еъ
ов	е╗еєе┴
ог	есб╝е╚еы
од	енеэ
ое	енеэесб╝е╚еы
ож	едеєе┴
оз	е╒егб╝е╚
